Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison
ENSG00000163166.17,1833.577325012347,0.14620159158736598,0.08047348217111965,0.06708300360410166,0.09592848096803011,HuT78_vs_HH
ENSG00000110917.11,6753.86215457057,0.14745447567352085,0.08082653252408784,0.06713135765547448,0.09598996507285701,HuT78_vs_HH
ENSG00000198156.11,9.650450217396333,0.9502164827166594,0.638757326008427,0.06726033620917667,0.09616671374201118,HuT78_vs_HH
ENSG00000166343.11,44.459554248544826,-0.5405911778196395,0.3111934329951324,0.06749724897917025,0.09649774283471671,HuT78_vs_HH
ENSG00000235173.8,1934.4982910797294,-0.2033635882680063,0.1120986857327946,0.06753799446882486,0.0965482900501913,HuT78_vs_HH
ENSG00000135018.16,4431.685371494941,-0.13313190553445012,0.07361093913512509,0.06758935652785333,0.09661400480303937,HuT78_vs_HH
ENSG00000128218.9,5.717530299785043,1.2128795605222793,1.0626125054811197,0.06770009800904515,0.0967645808067691,HuT78_vs_HH
ENSG00000265479.8,9.355038753527861,0.9295630363433662,0.6181324302186418,0.067786436178777,0.09688025561569924,HuT78_vs_HH
ENSG00000245614.6,47.54485761644712,-0.5531785386811966,0.3220250391410897,0.06792009995260027,0.09706354424464214,HuT78_vs_HH
ENSG00000162482.7,10.094392185945734,-0.8558146579620853,0.551387587186456,0.06795217473406374,0.09710163598634058,HuT78_vs_HH
ENSG00000077312.11,4623.560836332386,-0.14301403803952228,0.07868868979808538,0.06797968966964013,0.0971332062874145,HuT78_vs_HH
ENSG00000186395.10,1176.22837884671,0.15908498331127077,0.08864491119949967,0.06799379702118187,0.0971456155701789,HuT78_vs_HH
ENSG00000167280.19,540.9200245377849,-0.2150219594626591,0.11871189931651129,0.06811054504436287,0.0973046582511771,HuT78_vs_HH
ENSG00000139168.11,2173.7966431188856,-0.16894252321949454,0.0931247794759496,0.06824113591313069,0.09748345027380084,HuT78_vs_HH
ENSG00000173545.7,1615.1873575753352,-0.1394975735921982,0.07660886238398672,0.06846972660064359,0.097802196782852,HuT78_vs_HH
ENSG00000065183.18,2958.9218109083213,-0.1597262074527022,0.08813651681469928,0.068557758292116,0.0979201339235636,HuT78_vs_HH
ENSG00000183530.16,1243.0279338299251,-0.15870019960150927,0.08774304438757022,0.0687724187778306,0.09821890006416095,HuT78_vs_HH
ENSG00000172366.22,1636.5444938350308,-0.18069186321559058,0.100242285043208,0.06883891945109841,0.09830603762187548,HuT78_vs_HH
ENSG00000077147.18,3972.668118670535,0.19890148294335025,0.10957777938539792,0.06891213103699984,0.09840274410392573,HuT78_vs_HH
ENSG00000295643.1,5.858727265748235,-1.2123506623652822,1.6248897731127019,0.06898314588123257,0.09849629859426808,HuT78_vs_HH
ENSG00000286585.4,10.384562227524025,0.9107970945233707,0.6033825766339714,0.0691064204945824,0.09865371215067613,HuT78_vs_HH
ENSG00000140948.14,385.25824425697647,0.22454335108018814,0.12464179514754858,0.06910991278208124,0.09865371215067613,HuT78_vs_HH
ENSG00000241360.3,338.95712787856996,0.220950524844861,0.12245168159231079,0.069104209464441,0.09865371215067613,HuT78_vs_HH
ENSG00000115290.13,15.913953559345407,-0.8686718038222482,0.5688006442007211,0.06916113810549997,0.09871896973627853,HuT78_vs_HH
ENSG00000183060.18,96.9557369223183,0.47572422102446105,0.2721693850496402,0.0692559290406498,0.09884639649165401,HuT78_vs_HH
ENSG00000244398.1,260.5149011850454,0.35058895608298907,0.19638147527430663,0.06929466643788817,0.09889380620049125,HuT78_vs_HH
ENSG00000131558.18,1480.4488148941264,0.1602631065010149,0.08812730168596111,0.06938041511425262,0.09900829510688512,HuT78_vs_HH
ENSG00000125630.17,2543.517740853167,0.17024597179785458,0.09274601837832262,0.06942240382901699,0.09906032374327672,HuT78_vs_HH
ENSG00000289042.1,33.75278723110894,0.5977869751363596,0.3515561446802304,0.0694800883053203,0.09911895062826989,HuT78_vs_HH
ENSG00000148925.13,848.3319398069527,-0.171380928380346,0.09473844730943026,0.06947519159507423,0.09911895062826989,HuT78_vs_HH
ENSG00000279529.3,28.596806412418903,-0.6706557715989757,0.4042535302187119,0.06947636641236012,0.09911895062826989,HuT78_vs_HH
