Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,Ensembl,gene_symbol,gene_type,DEG_class
ENSG00000170558.12,119.02886023509129,-12.661361633944301,3.2115688920418624,1.8225474568596165e-21,1.1109539873984359e-20,HuT78_vs_HH,ENSG00000170558,CDH2,protein_coding,Down
ENSG00000139263.14,113.43531702615756,-12.616475220805837,3.2294029192711844,2.619586037183175e-21,1.5817284750972897e-20,HuT78_vs_HH,ENSG00000139263,LRIG3,protein_coding,Down
ENSG00000243276.7,181.38835913631615,-12.595065801612433,3.2231877107977547,1.9846758921173477e-21,1.2081368877771758e-20,HuT78_vs_HH,ENSG00000243276,ENSG00000243276,lncRNA,Down
ENSG00000237187.10,153.7516480453117,-12.594032380985816,3.2247637524886734,2.180783932076609e-21,1.3248132974958444e-20,HuT78_vs_HH,ENSG00000237187,NR2F1-AS1,lncRNA,Down
ENSG00000226660.2,109.97788918376615,-12.56393524144825,3.2313625413302653,1.1744157710322355e-20,6.87345917610013e-20,HuT78_vs_HH,ENSG00000226660,TRBV2,TR_V_gene,Down
ENSG00000163359.19,2893.8970575857907,-12.514980113614865,0.5875586215162535,2.022507999426757e-98,8.773179372816065e-97,HuT78_vs_HH,ENSG00000163359,COL6A3,protein_coding,Down
ENSG00000184564.12,106.29381105560913,-12.501336711055526,3.217011705535213,6.0091365720286875e-21,3.562332286164591e-20,HuT78_vs_HH,ENSG00000184564,SLITRK6,protein_coding,Down
ENSG00000064692.22,105.23119497031726,-12.493594091547124,3.2167552571523146,6.5739038819787154e-21,3.889415060952731e-20,HuT78_vs_HH,ENSG00000064692,SNCAIP,protein_coding,Down
ENSG00000138061.15,5733.9567226722465,-12.4844025746707,2.9972345704503978,2.517719258484051e-21,1.5217591267119356e-20,HuT78_vs_HH,ENSG00000138061,CYP1B1,protein_coding,Down
ENSG00000104267.12,1799.012231618071,-12.47817959360079,0.9846613304776963,4.9078432115869314e-36,5.434116881061797e-35,HuT78_vs_HH,ENSG00000104267,CA2,protein_coding,Down
ENSG00000021355.15,1402.0753149139562,-12.462993501922346,1.316739445324662,8.30626870576233e-27,6.444642869802172e-26,HuT78_vs_HH,ENSG00000021355,SERPINB1,protein_coding,Down
ENSG00000007264.17,1948.0345629413973,16.837180124059337,3.2889591876226,2.042196655714089e-36,2.2909175383292367e-35,HuT78_vs_HH,ENSG00000007264,MATK,protein_coding,Up
ENSG00000135269.20,2958.667335954829,16.537520935672113,2.7854437764064146,2.221186809136431e-39,2.744314599012356e-38,HuT78_vs_HH,ENSG00000135269,TES,protein_coding,Up
ENSG00000182866.20,1462.1007974637,16.53742213157118,3.393158980012085,9.979688873482138e-37,1.1301272197751738e-35,HuT78_vs_HH,ENSG00000182866,LCK,protein_coding,Up
ENSG00000167286.13,1876.5708220156603,16.134343520454507,3.085255488494431,3.930623074702391e-36,4.368307219807279e-35,HuT78_vs_HH,ENSG00000167286,CD3D,protein_coding,Up
ENSG00000214049.9,870.6816637393423,15.910042721684848,3.5667154197755466,3.199557677611209e-33,3.2166148032774863e-32,HuT78_vs_HH,ENSG00000214049,UCA1,lncRNA,Up
ENSG00000277443.5,1070.2766605125505,15.871030972992124,3.2544479250924327,3.9056964128145335e-29,3.3446726212032683e-28,HuT78_vs_HH,ENSG00000277443,MARCKS,protein_coding,Up
ENSG00000187772.8,808.2835237050551,15.792150117064683,3.5559231091890733,1.0044719811695831e-32,9.936562972199383e-32,HuT78_vs_HH,ENSG00000187772,LIN28B,protein_coding,Up
ENSG00000007237.21,1736.5154963615137,15.748653402103447,3.1117892638191664,7.424087073595816e-20,4.1576280063603946e-19,HuT78_vs_HH,ENSG00000007237,GAS7,protein_coding,Up
ENSG00000154096.16,941.3818206773161,15.707813663011224,3.2491346704084343,5.920604718414808e-30,5.256076983667061e-29,HuT78_vs_HH,ENSG00000154096,THY1,protein_coding,Up
ENSG00000161243.12,1047.5977722443665,15.685239748553396,3.0234042472552978,8.340443323519328e-34,8.577442143561926e-33,HuT78_vs_HH,ENSG00000161243,FBXO27,protein_coding,Up
