"Geneid","HH-1","HH-2","HH-3","M-1","M-2","M-3","78-1","78-2","78-3","S-1","S-2","S-3"
"ENSG00000142611.18",0,0,0,0,0,0,0,0,1,1,0,0
"ENSG00000283572.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226286.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000306427.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279839.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000306439.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272235.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287828.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000286518.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000295754.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000297626.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000130762.17",0,0,0,0,0,0,1,0,15,0,0,0
"ENSG00000272088.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162591.19",0,1,77,57,15,1,133,27,1453,1771,1009,44
"ENSG00000207776.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000309127.1",59,65,2,1,0,70,0,0,0,0,0,0
"ENSG00000238260.4",8,8,7,5,3,19,1,5,9,5,1,1
"ENSG00000158109.17",1469,1620,810,727,740,1455,555,716,675,788,834,643
"ENSG00000116213.18",2261,2554,954,756,793,2098,1097,1201,1149,1373,1262,1312
"ENSG00000078900.18",405,475,2,0,2,325,0,2,4473,5780,6071,0
"ENSG00000227589.1",0,1,0,0,0,1,0,0,15,11,11,0
"ENSG00000235131.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000293478.2",0,0,0,0,0,0,0,0,7,2,0,0
"ENSG00000276189.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227372.13",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162592.11",0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000296834.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235169.13",47,62,8,8,3,32,5,1,13,8,2,4
"ENSG00000130764.12",4705,5645,2047,1774,1874,4303,2088,2271,1389,1608,1630,2455
"ENSG00000266075.2",2,0,0,0,0,2,0,0,0,0,1,0
"ENSG00000272153.1",4,2,0,0,1,2,2,0,1,2,1,3
"ENSG00000116198.16",2457,2680,1114,1036,1044,2433,1093,1301,651,828,793,1431
"ENSG00000169598.19",552,560,302,306,245,510,563,494,144,178,122,590
"ENSG00000198912.13",2265,2371,931,801,891,2162,863,1124,692,828,865,1088
"ENSG00000236423.9",23,16,42,17,17,16,7,16,42,20,44,3
"ENSG00000233304.8",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226374.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284668.3",0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000284703.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000296871.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000308587.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229280.1",1,1,0,0,0,1,1,0,0,0,0,1
"ENSG00000301255.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000299169.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000302287.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235054.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000306535.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284694.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000299517.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227169.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000295490.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232596.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000300565.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000303830.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196581.13",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287586.1",0,0,0,0,0,0,0,0,1,1,0,0
"ENSG00000284739.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284674.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000309102.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000309111.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231510.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000296716.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000302269.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000306645.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284616.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000302445.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000302452.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000295735.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284692.3",0,0,0,0,2,0,0,0,0,0,0,0
"ENSG00000284666.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260972.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000299325.1",0,0,0,0,0,0,0,0,0,0,0,0
