ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,cell_line,direction,representative_ID,representative_term
GO:0006397,mRNA processing,445,-0.29237630975953527,-1.5005396752039082,2.2788601423177705e-5,0.0015788410524468245,0.0012990425426653526,2924,"tags=31%, list=20%, signal=26%",79760/84967/51759/54890/105/421/8233/6627/5411/57187/6733/9991/10189/23283/79084/84991/25949/51631/27336/58509/57035/6631/55339/9785/6626/6633/9238/8570/285672/8106/677/6432/55677/51639/10084/64062/23435/54517/255967/143884/199746/10421/50628/55696/10465/9984/80324/3183/8487/167153/81608/4841/58517/11193/57461/2081/4809/11338/1207/57703/55702/6732/55234/10236/79637/8683/2334/170506/10285/26528/9444/8458/2332/1478/5433/10569/7375/10212/338657/51634/23450/54496/79066/8896/5976/104/220988/10656/84148/10492/54960/10659/51692/9775/64282/4691/10179/51690/10284/53938/79833/9904/22938/10914/79882/3185/84811/55131/25929/11051/53981/55197/10594/51574/8175/84881/5511/55660/8731/550643/5394/8732/5935/8882/283989/6632/10250/4928/65109/10150/4154/51503/10929/3312/25804/29101/28960/708,SeAx,Down,GO:0006397,mRNA processing
GO:0006457,protein folding,182,-0.383473244578074,-1.7915402489998609,7.32297733246691e-6,8.013980389526226e-4,6.593761573368418e-4,2513,"tags=31%, list=17%, signal=26%",80273/5201/3320/8570/54431/5611/10465/3336/3313/51303/26278/134266/6102/131474/11140/2280/9531/3308/573/908/10961/2896/55664/90624/6904/9093/5481/23071/53938/27000/134492/3329/3326/10954/30001/10808/10726/9049/10525/10728/6950/3998/10105/8882/402/84750/10131/51182/10294/3312/10598/26973/10549/1676/8872/10049/7456,SeAx,Down,GO:0006457,protein folding
GO:0006520,amino acid metabolic process,222,-0.37569461559628853,-1.7947942020974248,1.502806693274e-6,2.835393858078755e-4,2.3329120060237374e-4,2989,"tags=37%, list=20%, signal=30%",283459/6301/1373/8833/339983/51540/25973/5095/4329/5096/56954/594/57038/384/8604/10667/63826/112399/92935/256987/36/790/55278/4953/8659/27034/79731/5831/10352/5625/4677/3376/56267/84245/80017/2744/64087/3735/3155/23463/2954/81539/2356/1491/22929/587/84842/9945/2617/152926/6470/11315/5188/3028/1743/7453/4522/125061/79814/57470/4942/5033/23395/10295/1738/38/5198/56922/10247/51078/2731/124454/79587/4357/60496/5723/2746/6611/1615/10056/2806/64116,SeAx,Down,GO:0006520,amino acid metabolic process
GO:0006839,mitochondrial transport,156,-0.34367919536245206,-1.5779823784752685,0.00057779893554042055,0.01276041568880141,0.010499044736744158,2542,"tags=35%, list=17%, signal=29%",29957/80273/3320/79714/581/5663/8604/26515/1267/29074/115286/10166/23788/10651/134266/55750/26520/131474/22/11194/79594/94081/3308/90550/26521/10452/10245/29928/9512/26519/117145/1386/152926/6548/158234/28978/3329/664/10469/29103/578/26517/10105/55737/7416/3099/119559/100287932/9131/84275/10939/292/93974/64116,SeAx,Down,GO:0006839,mitochondrial transport
GO:0007005,mitochondrion organization,461,-0.333506052155077,-1.7152160579594031,2.0439386535193035e-8,1.0041313166925742e-5,8.261815188962238e-6,3129,"tags=36%, list=21%, signal=30%",11152/11345/598/65018/22906/55669/125988/7019/26235/79823/81631/55187/487/84987/92609/137682/1678/6687/6648/8936/55062/1763/4711/4707/5018/84233/4709/6790/139341/56181/22863/3320/581/729515/4728/26515/54974/1267/51537/57226/64112/81554/27166/23788/23647/1459/3313/4702/6240/91647/5245/10651/80119/64863/7386/2810/374291/57602/55750/154791/26520/23230/79135/4719/131474/11140/80224/4725/79594/79017/728568/23192/4705/56270/3308/4976/90550/3155/26521/8473/7156/5864/10452/51499/7037/55102/23287/10962/29928/706/26519/90624/117145/9927/9093/1386/83667/152926/4708/9167/6548/158234/57001/11315/91942/10463/3091/5898/54902/513/51295/3028/79065/28978/84971/8834/3329/2395/55471/54539/26355/81892/4694/664/1347/3799/5716/617/578/26517/1352/6832/10087/647087/2631/10075/4706/55210/207/10928/9361/10105/4000/55737/83858/7416/3099/90871/55735/192111/6341/23277/54927/9131/6742/10730/56947/84275/201164/84883/64423/55572/80821/10939/292/30968/493856/93974,SeAx,Down,GO:0007005,mitochondrion organization
GO:0007080,mitotic metaphase chromosome alignment,57,-0.4539126023421247,-1.7212443886357602,0.001348672593592463,0.021821038011298415,0.01795396481353471,3450,"tags=46%, list=23%, signal=35%",10464/11004/221150/220134/8379/332/10403/1062/348235/51510/27436/81620/8697/84722/57132/5119/9183/283489/9212/8452/54908/10726/3835/27183/81929/54984,SeAx,Down,GO:0007080,mitotic metaphase chromosome alignment
GO:0009165,nucleotide biosynthetic process,241,-0.33425892099505483,-1.6231587979177118,4.217983140804223e-5,0.002561121448641126,0.0021072455099653505,2756,"tags=34%, list=19%, signal=28%",4711/23417/4707/6785/226/4709/7371/515/10476/4509/318/4508/4728/50808/55229/790/55739/100/2182/4702/6240/7114/374291/9061/132/2180/4882/4719/509/204/5162/4725/32/4705/3735/506/51703/5635/113/9551/7298/5636/2617/9556/2181/8050/4708/197322/272/6470/5165/65220/513/54539/79877/4694/4522/125061/1841/5631/4860/3251/64802/1738/38/4706/5198/498/518/2023/10135/10632/6392/5634/5160/471/6390/1737/30968/11332/109/3614,SeAx,Down,GO:0009165,nucleotide biosynthetic process
GO:0009451,RNA modification,170,-0.34797903378260214,-1.6118770149527488,2.4211807731323745e-4,0.007110902661960517,0.005850725163450315,2965,"tags=37%, list=20%, signal=30%",54901/6301/54890/55651/105/131965/348180/29063/54859/221078/91893/127253/55623/84705/1787/6633/25821/79872/54802/54974/81627/54517/54920/27292/80324/51106/93587/55695/84520/64863/81605/113802/123263/60487/6741/55798/79693/91801/79066/115708/8846/29081/54433/104/55250/55226/55140/158234/55644/57570/3028/134637/2091/51574/84881/24140/207/8731/6632/55178/5073/23587/79828,SeAx,Down,GO:0009451,RNA modification
GO:0042254,ribosome biogenesis,313,-0.43417710920998237,-2.182276270526771,1e-10,2.4109649411517694e-7,1.983699386697003e-7,2993,"tags=39%, list=20%, signal=32%",57647/54680/10171/10360/6201/51121/55651/23160/84864/51010/6130/6194/317781/29063/6059/79707/55759/6217/51406/91893/134430/51550/56342/85865/55035/55794/7514/79039/9221/27292/2971/50628/8450/9136/9669/51106/10557/55695/6839/54552/57602/83732/4809/10813/27340/51068/26155/10514/25983/54700/84128/6207/51001/79066/81887/29081/1662/23378/84365/54433/64745/10248/51116/23195/5036/23016/55226/51491/9775/51077/6169/64282/11137/22894/90121/8886/7520/64434/9790/55027/29777/6210/4927/2091/54555/1983/9188/118460/84916/6154/51042/27043/55720/6135/84946/83939/6208/5822/55052/57109/84881/51154/5901/5394/6209/51119/51388/55178/1964/11340/8451/57418/84549/92856/51081/6230/10200/28987/90459/708/26156,SeAx,Down,GO:0022613,ribonucleoprotein complex biogenesis
GO:0032259,methylation,229,-0.3095201112618925,-1.4873876860813797,0.0010975615007072653,0.018535069843193943,0.015250328220353581,2715,"tags=31%, list=18%, signal=26%",51611/29063/387893/221078/56980/91893/127253/110599564/84705/1787/6633/25821/79872/81627/27292/2107/115286/51106/54737/93587/5926/55695/64863/6839/113802/79723/11176/60487/114826/10196/7799/55798/23463/91801/4297/84274/54496/79066/7298/115708/29081/3276/23378/64745/151194/28989/10400/158234/79624/57570/3028/2091/55471/2146/51574/53615/51108/133383/24140/207/8731/23347/54815/25940/6632/55178/84193/2935/5110/79828/1312,SeAx,Down,GO:0032259,methylation
GO:0010257,NADH dehydrogenase complex assembly,60,-0.47024656268910053,-1.8303782621877913,2.866409894267621e-4,0.007984576839495992,0.00656956885153903,2871,"tags=45%, list=19%, signal=36%",4722/29078/28976/137682/4711/4707/5018/84233/4709/4728/57226/4702/374291/4719/80224/4725/4705/4708/91942/51295/55471/54539/4694/617/4706/90871/55572,SeAx,Down,GO:0032981,mitochondrial respiratory chain complex I assembly
GO:0034470,ncRNA processing,406,-0.367320756717066,-1.8716188614976201,1.3384335350583474e-10,2.4109649411517694e-7,1.983699386697003e-7,3001,"tags=35%, list=20%, signal=29%",1653/57647/54680/10171/54901/6301/10360/6201/55651/131965/23160/51010/6130/6194/348180/317781/29063/79707/55759/6217/54859/221078/51406/91893/127253/23318/55623/134430/84705/1787/56342/6895/25821/55035/10667/54802/54974/81627/79039/54973/54517/9221/54920/27292/50628/55756/9136/80324/51106/10557/93587/55695/84520/6839/81605/113802/57602/123263/83732/4809/7247/60487/6741/10813/27340/55798/3735/25983/84128/79693/91801/9692/79066/115708/8846/81887/29081/1662/23378/84365/54433/10248/5036/55250/23016/55226/9775/51077/64282/11137/22894/55140/90121/8886/158234/9790/29777/55644/29066/57570/3028/134637/2091/23405/54555/9188/118460/84916/6154/27043/55720/6135/57117/6208/5822/51574/51637/57109/84881/51154/24140/207/5394/6209/25940/283989/51119/55178/5073/23587/60528/11340/57418/84549/92856/6230/201164/10200/28987/90459/79828/26156,SeAx,Down,GO:0034470,ncRNA processing
GO:0043648,dicarboxylic acid metabolic process,69,-0.5011835043600626,-2.019863083333556,2.3925266638459273e-5,0.0016161517614279239,0.001329741135274368,2155,"tags=38%, list=15%, signal=32%",8801/79944/8659/5625/56267/80017/2744/4200/2356/5106/4191/197322/6470/57001/3417/1743/4522/8803/25902/4942/9380/3418/60496/2746/471/2806,SeAx,Down,GO:0043648,dicarboxylic acid metabolic process
GO:0045333,cellular respiration,220,-0.3876446615091631,-1.8423886248076649,3.178351191144877e-7,9.334766091301344e-5,7.680480729607089e-5,2848,"tags=34%, list=19%, signal=28%",23410/6648/4711/114789/4707/5018/23530/4709/56181/57017/515/10476/4509/4508/4728/8604/1355/8801/27166/48/4702/8013/7386/374291/54205/4719/509/93058/131474/5162/4725/4705/10514/55526/506/1349/10975/9551/90624/4191/7385/9927/4708/9167/1431/11315/3091/513/3417/2395/54539/4694/1743/8803/664/29103/1347/1352/1738/2631/4706/1327/10105/498/402/3418/10131/10632/6392/84275/84883/5160/6390/1737/30968,SeAx,Down,GO:0045333,cellular respiration
GO:0051647,nucleus localization,30,-0.571573043150938,-1.889360126678223,8.265390406213189e-4,0.015727524561681715,0.012940329531447187,1087,"tags=33%, list=7%, signal=31%",6585/2475/199953/5108/10726/5048/84823/4000/29109/9368,SeAx,Down,GO:0051647,nucleus localization
GO:0072655,establishment of protein localization to mitochondrion,112,-0.4980475959380668,-2.16777372316395,7.20150088146779e-8,3.14329984613735e-5,2.586251616752536e-5,2885,"tags=46%, list=19%, signal=37%",92609/1678/5018/3301/23203/80273/3320/581/26515/64112/23788/1459/10651/57602/134266/55750/26520/131474/3308/118424/26521/10452/10245/29928/9512/706/26519/5880/4285/9927/51100/158234/5898/3329/55823/10055/10469/29103/617/9049/26517/10075/3998/207/3099/100287932/9131/56947/7323/3098/93974,SeAx,Down,GO:0070585,protein localization to mitochondrion
GO:0071044,histone mRNA catabolic process,11,-0.7301551715541328,-1.8296929667552397,0.0019352294397605527,0.02818862504707824,0.023193103003400696,2114,"tags=73%, list=14%, signal=62%",55149/54464/167153/6741/472/5976/64282/5394,SeAx,Down,GO:0071044,histone mRNA catabolic process
GO:0140053,mitochondrial gene expression,163,-0.4356722093764902,-2.0023684915743662,2.225914445068337e-7,7.518026038218308e-5,6.185699089453062e-5,2611,"tags=36%, list=18%, signal=30%",85476/55005/11222/23107/57038/54998/9238/124995/25821/122704/9617/54802/81554/51263/80324/29074/55168/51106/55278/64863/10352/56945/10240/57215/65080/64960/57129/51001/9692/78988/8846/219927/51116/2617/63875/5188/28973/57570/3028/90480/3396/51650/54948/23395/6832/29093/55052/84881/51253/124454/60528/79675/51081/5442/84275/51073/79828/708/7284,SeAx,Down,GO:0140053,mitochondrial gene expression
