"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000012822.18",246.485206419646,-0.782338081203819,0.227122726722257,-3.44456097588385,0.000571987605439572,0.00125840199712978
"ENSG00000077044.13",631.969451558487,-0.521915590218689,0.151531673716462,-3.44426731004944,0.000572609277098917,0.001259608590114
"ENSG00000092201.12",11413.3918981414,-0.231774784279615,0.0673278268371572,-3.44248129143093,0.000576403732851751,0.00126779337660487
"ENSG00000123096.14",6.35060930936585,-6.03586497207866,1.75364988822783,-3.44188712501688,0.000577671240111041,0.00127041878658866
"ENSG00000211594.2",5.93048896084045,-5.93447451117241,1.72433250675778,-3.4416068176612,0.000578270107121676,0.00127157323478558
"ENSG00000135249.10",1015.80501536008,0.430849961604284,0.125220674396074,3.44072545274354,0.000580156881252782,0.00127555903841849
"ENSG00000295654.1",5.89420141885941,-5.92719239201438,1.72271781229514,-3.44060550701436,0.00058041409664716,0.001275798397742
"ENSG00000145526.14",5.89420141885941,-5.92719239201438,1.72271781229514,-3.44060550701436,0.00058041409664716,0.001275798397742
"ENSG00000169710.11",18442.20152394,-0.297287672956273,0.086426188086319,-3.4397869388773,0.000582172296655666,0.00127949955308938
"ENSG00000130940.16",771.651738100946,1.72580761153704,0.501818306600383,3.43910851564721,0.000583633236338559,0.00128254652676929
"ENSG00000149182.17",2279.74268800428,0.276813232624221,0.0805016091743239,3.43860496036532,0.000584719815558269,0.00128477016193181
"ENSG00000197894.14",3266.7380756369,0.299120528257847,0.086991916692329,3.43848646668828,0.000584975776592171,0.00128516839409699
"ENSG00000160813.9",1468.24513249499,0.500106808525776,0.145457377326229,3.43816737052908,0.000585665582641031,0.00128651954296625
"ENSG00000038382.24",3177.91583871586,-0.289442100742619,0.0841947307840179,-3.43776977546393,0.000586526143300338,0.00128803381125593
"ENSG00000184575.14",7855.11027381604,0.303445973578629,0.0882676197443315,3.43779490664374,0.000586471714169005,0.00128803381125593
"ENSG00000266714.11",12.3274587958292,3.97440210356247,1.1561072693588,3.43774510281105,0.000586579583928354,0.00128803381125593
"ENSG00000185798.10",482.463457530544,-0.525038337431095,0.152767466881616,-3.43684652333708,0.000588528986421915,0.00129214942129907
"ENSG00000243629.3",11.8552926270048,-5.45917489487939,1.58853770898534,-3.43660390559214,0.000589056360958485,0.00129314223465041
"ENSG00000127080.12",823.342820130781,0.409611151730924,0.11920034889306,3.43632510755824,0.000589662923253676,0.00129430861153181
"ENSG00000112062.15",2202.39938876051,-0.334491331624168,0.0973450336723686,-3.43614172192858,0.000590062220094699,0.00129501980166248
"ENSG00000169519.23",407.678649569282,-0.608564366975575,0.177254307688654,-3.43328393487911,0.000596317269610755,0.00130858089274113
"ENSG00000176978.18",4023.58382880018,0.341578035916598,0.0995041016078511,3.4328035769095,0.000597374704047926,0.00131073413823502
"ENSG00000114124.3",11.0262899918824,3.79071743613173,1.1042804071163,3.43274897544435,0.000597495011210833,0.00131083089194213
"ENSG00000172590.20",1724.60700140671,-0.377976134176901,0.110128061378532,-3.43215098355108,0.000598814084682297,0.00131355723205401
"ENSG00000083457.14",250.245145761955,-0.705781301332914,0.205667025979708,-3.43166969994767,0.000599877686578183,0.00131572254643519
"ENSG00000213553.4",575.655093856751,0.582365186987067,0.16972130411609,3.43130280562024,0.000600689677293437,0.00131733551567603
"ENSG00000152503.12",25.0551172860692,2.64465578985412,0.770893452327764,3.43063724548238,0.000602165270653235,0.00132040319419118
"ENSG00000129116.22",108.914402957196,1.23191902834528,0.359134792157128,3.43024138916146,0.000603044511060523,0.00132216259913843
"ENSG00000174206.15",566.760306185028,-0.699445705847446,0.203920808804473,-3.42998691476406,0.000603610357446764,0.00132323453327611
"ENSG00000122417.18",163.474703869412,0.80882932580266,0.235870233348517,3.42912844202579,0.00060552289508734,0.00132725803434462
"ENSG00000136938.11",13960.9681635181,0.238348181462651,0.0695128864406034,3.42883447468854,0.000606179101706477,0.00132852708325069
"ENSG00000132002.11",2428.11701836833,-0.498660014928725,0.14543463530499,-3.42875693869612,0.000606352291172903,0.001328737343378
"ENSG00000269343.10",367.339327535771,0.598844173942803,0.17465546124758,3.42871714211055,0.00060644120131316,0.00132876288695368
"ENSG00000164654.18",653.66307466653,-0.569372579664082,0.166070786689897,-3.42849330103595,0.000606941514050596,0.00132968972636228
