"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000085721.15",740.152626515452,1.16004974505117,0.170342596960941,6.81009780141585,9.75324173910072e-12,3.83403295950856e-11
"ENSG00000138738.13",78.0647773552811,-7.29553277703715,1.07140830878377,-6.80929270122874,9.80797478886766e-12,3.85468559197136e-11
"ENSG00000183199.6",220.586460375584,1.63877631644408,0.240669788017679,6.80923156139439,9.81214352419912e-12,3.85546087087824e-11
"ENSG00000185513.19",58.0536041863467,-3.4929260285025,0.513104349107472,-6.8074379696417,9.93521248779952e-12,3.90294451635284e-11
"ENSG00000053524.14",173.413818231059,-3.01337797249158,0.442867478875909,-6.80424306643641,1.01581905188534e-11,3.98964637022349e-11
"ENSG00000266962.4",846.453100285531,-1.18695150663751,0.174471532197563,-6.80312422139716,1.02374299070252e-11,4.01986847344519e-11
"ENSG00000155393.16",561.208745353915,1.18083405181554,0.173598143818654,6.80211219913204,1.03096252115729e-11,4.04731172214612e-11
"ENSG00000285589.1",135.446005802517,-1.83432600135845,0.269693316015189,-6.8015256308953,1.03516976923585e-11,4.06291984545151e-11
"ENSG00000141404.18",47.8042289925516,-5.56779070518412,0.81876408076277,-6.80023811010018,1.04446377074128e-11,4.09848143923423e-11
"ENSG00000108773.13",3372.00981385841,0.511131619653643,0.0751702356101586,6.79965435128379,1.04870453530825e-11,4.11420264175903e-11
"ENSG00000172954.16",782.024134635813,0.820323979583575,0.120655811884653,6.79887662906619,1.05438057834722e-11,4.13554634349057e-11
"ENSG00000245954.11",92.1857013836538,10.0922073523986,1.48442345636923,6.79873880266164,1.05538961009327e-11,4.13857940469006e-11
"ENSG00000070614.17",342.007203297024,-2.23763647825358,0.329175406072939,-6.79770249226261,1.06300682968176e-11,4.16751851315161e-11
"ENSG00000082196.23",58.0579678180983,-3.07060116431692,0.451729419475436,-6.79743455248634,1.06498502081521e-11,4.17434182304797e-11
"ENSG00000188343.16",95.2924492671876,-10.030899221116,1.47589988187513,-6.79646319123744,1.07218683253421e-11,4.20163214999344e-11
"ENSG00000198945.10",342.553101799048,-1.20498353304035,0.177297875293922,-6.79637886829012,1.07281426077991e-11,4.20315268070788e-11
"ENSG00000256862.6",87.6128780959204,10.0196241449628,1.47432202491144,6.79608930454978,1.07497157949963e-11,4.21066511595168e-11
"ENSG00000204843.15",3993.94254911965,-0.529863430142912,0.0779725311451931,-6.7955140401464,1.07927005143833e-11,4.22655922887604e-11
"ENSG00000184887.16",1534.97402358132,0.647701254890358,0.0953248898386249,6.7946708985119,1.08560058708134e-11,4.25040229857271e-11
"ENSG00000124019.12",216.968506413856,9.88351590169517,1.45468274959407,6.79427586836591,1.08857908013765e-11,4.26111356318764e-11
"ENSG00000284753.4",406.664923756329,1.59790206482783,0.235188446186511,6.79413504675589,1.08964279720462e-11,4.26432655990288e-11
"ENSG00000133943.23",737.866327343863,1.40912205937058,0.207507270346049,6.79071175202998,1.11581668721237e-11,4.3657851037888e-11
"ENSG00000113845.12",1617.46444576882,0.688209952447258,0.101361819808738,6.78963690417023,1.12416110063988e-11,4.39745371720894e-11
"ENSG00000137073.26",1614.78339526007,0.574099031134218,0.0845782524895593,6.78778544407839,1.13867818189594e-11,4.4532488664213e-11
"ENSG00000100941.11",4680.52778298875,0.458241411878677,0.0675139583289224,6.78735809928612,1.14205493835022e-11,4.46546024447137e-11
"ENSG00000122861.18",151.153444447772,2.3364002454355,0.344258282410447,6.78676553277487,1.14675346567888e-11,4.48283318714281e-11
"ENSG00000124422.14",6831.11731581004,0.652176751957841,0.0960987779488564,6.78652492651809,1.14866666058738e-11,4.48931253189493e-11
"ENSG00000172531.18",6793.40948600362,0.413234688740337,0.060902902957714,6.78513943788942,1.15974444777084e-11,4.5315988259659e-11
"ENSG00000204217.17",1124.17577857433,-0.900650795461483,0.132751245232847,-6.78449979042932,1.16489404622556e-11,4.55070758245127e-11
"ENSG00000160190.16",613.201407966812,-1.1923080801842,0.175768312483965,-6.7834074488994,1.17373997330908e-11,4.58424448752264e-11
"ENSG00000100221.13",2557.29905776984,-0.579089515555552,0.0853731366734605,-6.7830413420381,1.17671945186687e-11,4.59485914078622e-11
"ENSG00000146587.20",457.362384276503,-1.02315894373511,0.15088157985997,-6.78120513242693,1.19177515164416e-11,4.65261386752609e-11
"ENSG00000215305.12",2287.86051233094,-0.612216423232598,0.0902878412517132,-6.78071836412393,1.19579786631352e-11,4.6672804226323e-11
"ENSG00000130159.17",1195.68399237242,0.881641974146956,0.130042617391156,6.77963879714186,1.20476706267005e-11,4.70124262107923e-11
"ENSG00000162191.16",2676.01952232276,-0.504384468478857,0.0743980092674931,-6.77954253675493,1.20557000007983e-11,4.70333042697811e-11
"ENSG00000173530.8",59.3063961007983,-3.11030862887203,0.458818366503701,-6.77895406100082,1.21049006643622e-11,4.7214760289612e-11
"ENSG00000143434.19",96.9408682059242,-2.45834931418025,0.362734795169389,-6.77726357360412,1.2247333766801e-11,4.77597049333536e-11
"ENSG00000182518.16",246.761354296002,1.54957520713686,0.228647609785987,6.77713276157687,1.22584235960147e-11,4.77923350325636e-11
"ENSG00000010379.18",49.7137240202027,-3.7420496640598,0.552448158459316,-6.77357613879234,1.25637406955102e-11,4.89718098690889e-11
"ENSG00000295115.1",85.9899435588701,9.99243393140094,1.47548363594762,6.77231091416569,1.26741396238509e-11,4.93911643143898e-11
"ENSG00000107957.18",841.914640591238,5.63539817970652,0.832185066674426,6.77180882640285,1.27182128483104e-11,4.95519185008739e-11
"ENSG00000163468.17",26421.745248909,-0.649241540959312,0.0958810347853048,-6.77132388499021,1.27609234662904e-11,4.97010312197795e-11
"ENSG00000178691.14",6434.23582498701,-0.549441170249597,0.0811425217158076,-6.77131001885734,1.27621467725431e-11,4.97010312197795e-11
"ENSG00000198836.13",3395.86356690635,0.454248581963184,0.0670864783060491,6.77108999358854,1.2781573352138e-11,4.97656468773862e-11
"ENSG00000197587.14",91.5340793608013,-9.97297689327532,1.4729700914317,-6.77065810859863,1.28197898174043e-11,4.99033769477496e-11
"ENSG00000175866.18",160.977660385076,1.86651704937536,0.275695249556456,6.77021839287494,1.2858814183691e-11,5.00441901593614e-11
"ENSG00000226979.10",85.5089674379328,9.98480777238411,1.47507058870334,6.76903725750591,1.29642158110978e-11,5.04432120522234e-11
"ENSG00000177374.15",638.796858229733,1.1676505653039,0.172524236383468,6.76803786981311,1.30540592653062e-11,5.07815343367419e-11
"ENSG00000172197.13",815.64582112085,-0.78225313527244,0.115621870570093,-6.76561563496082,1.32743524179202e-11,5.16270560587078e-11
