Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,Ensembl,gene_symbol,gene_type,DEG_class
ENSG00000082438.20,380.090708459637,-13.680669171677133,3.3478962218357227,1.967179361854206e-24,1.0145725612602243e-23,HuT78_vs_HH,ENSG00000082438,COBLL1,protein_coding,Down
ENSG00000128573.30,1112.950749199465,-13.635796850630328,3.356750226272292,3.4799011212522115e-23,1.7043799817091347e-22,HuT78_vs_HH,ENSG00000128573,FOXP2,protein_coding,Down
ENSG00000120278.19,636.9684685193713,-13.630883244064641,3.3327486875612213,4.961753404189663e-25,2.6287208177562554e-24,HuT78_vs_HH,ENSG00000120278,PLEKHG1,protein_coding,Down
ENSG00000197872.13,262.9016139432992,-13.608188616939158,3.335991511341914,1.772884017348378e-24,9.16904658654818e-24,HuT78_vs_HH,ENSG00000197872,CYRIA,protein_coding,Down
ENSG00000218336.11,1224.4526960528283,-13.539218487679431,3.32305398903981,1.1070315050888691e-24,5.799011899446636e-24,HuT78_vs_HH,ENSG00000218336,TENM3,protein_coding,Down
ENSG00000137558.10,194.03841235684123,-13.483883327106396,3.328710709191212,1.3201013465399635e-23,6.581821289003574e-23,HuT78_vs_HH,ENSG00000137558,PI15,protein_coding,Down
ENSG00000189057.13,937.3350689307163,-13.483355035187287,3.319226099112639,1.5611812286993443e-24,8.109555581362516e-24,HuT78_vs_HH,ENSG00000189057,FAM111B,protein_coding,Down
ENSG00000118402.7,431.5572469554408,-13.47309306802715,3.315817571417011,1.6449529415300011e-24,8.520934692750598e-24,HuT78_vs_HH,ENSG00000118402,ELOVL4,protein_coding,Down
ENSG00000242265.6,5525.508314924469,-13.459203846040397,0.5852548312831828,2.1559589764406795e-114,8.672411524676351e-113,HuT78_vs_HH,ENSG00000242265,PEG10,protein_coding,Down
ENSG00000188921.16,220.21509758428365,-13.412009720302827,3.3161137678859482,9.204110068591475e-24,4.6155123710639743e-23,HuT78_vs_HH,ENSG00000188921,HACD4,protein_coding,Down
ENSG00000168386.20,297.8713358241138,-13.38484089825539,4.070650480422138,6.553507836670473e-8,1.4434995375245273e-7,HuT78_vs_HH,ENSG00000168386,FILIP1L,protein_coding,Down
ENSG00000185338.9,1003.3685068270743,-13.35525930119017,3.305359077260516,6.117337524609326e-24,3.0902038743501295e-23,HuT78_vs_HH,ENSG00000185338,SOCS1,protein_coding,Down
ENSG00000186367.7,282.72355644337813,-13.348438366076877,3.304263844117445,6.011100254353268e-24,3.038893313226771e-23,HuT78_vs_HH,ENSG00000186367,MINAR2,protein_coding,Down
ENSG00000170989.12,2383.793799263131,-13.346023815783656,1.3261024463850233,2.863587282072342e-30,1.8660566523624417e-29,HuT78_vs_HH,ENSG00000170989,S1PR1,protein_coding,Down
