Geneid,module,Ensembl,gene_symbol,gene_type
ENSG00000023902.15,Module 6,ENSG00000023902,PLEKHO1,protein_coding
ENSG00000135679.29,Module 2,ENSG00000135679,MDM2,protein_coding
ENSG00000169379.18,Module 1,ENSG00000169379,ARL13B,protein_coding
ENSG00000054983.19,Module 1,ENSG00000054983,GALC,protein_coding
ENSG00000163659.15,Module 6,ENSG00000163659,TIPARP,protein_coding
ENSG00000109113.22,Module 1,ENSG00000109113,RAB34,protein_coding
ENSG00000184640.22,Module 6,ENSG00000184640,SEPTIN9,protein_coding
ENSG00000100385.17,Module 3,ENSG00000100385,IL2RB,protein_coding
ENSG00000148154.12,Module 1,ENSG00000148154,UGCG,protein_coding
ENSG00000112679.16,Module 2,ENSG00000112679,DUSP22,protein_coding
ENSG00000054392.15,Module 3,ENSG00000054392,HHAT,protein_coding
ENSG00000073578.20,Module 3,ENSG00000073578,SDHA,protein_coding
ENSG00000178234.16,Module 1,ENSG00000178234,GALNT11,protein_coding
ENSG00000151779.16,Module 3,ENSG00000151779,NBAS,protein_coding
ENSG00000169991.12,Module 3,ENSG00000169991,IFFO2,protein_coding
ENSG00000162430.19,Module 1,ENSG00000162430,SELENON,protein_coding
ENSG00000049656.16,Module 3,ENSG00000049656,CLPTM1L,protein_coding
ENSG00000067208.19,Module 1,ENSG00000067208,EVI5,protein_coding
ENSG00000186603.7,Module 6,ENSG00000186603,HPDL,protein_coding
ENSG00000130779.24,Module 1,ENSG00000130779,CLIP1,protein_coding
ENSG00000132481.9,Module 5,ENSG00000132481,TRIM47,protein_coding
ENSG00000017483.18,Module 6,ENSG00000017483,SLC38A5,protein_coding
ENSG00000204104.14,Module 3,ENSG00000204104,TRAF3IP1,protein_coding
ENSG00000131370.18,Module 4,ENSG00000131370,SH3BP5,protein_coding
ENSG00000125249.8,Module 3,ENSG00000125249,RAP2A,protein_coding
ENSG00000013619.17,Module 2,ENSG00000013619,MAMLD1,protein_coding
ENSG00000057657.19,Module 2,ENSG00000057657,PRDM1,protein_coding
ENSG00000145945.9,Module 1,ENSG00000145945,FAM50B,protein_coding
ENSG00000115129.16,Module 1,ENSG00000115129,TP53I3,protein_coding
ENSG00000152076.21,Module 3,ENSG00000152076,CCDC74B,protein_coding
ENSG00000138080.16,Module 1,ENSG00000138080,EMILIN1,protein_coding
ENSG00000144843.14,Module 1,ENSG00000144843,ADPRH,protein_coding
ENSG00000146776.16,Module 1,ENSG00000146776,ATXN7L1,protein_coding
ENSG00000060566.16,Module 2,ENSG00000060566,CREB3L3,protein_coding
ENSG00000185088.16,Module 1,ENSG00000185088,RPS27L,protein_coding
