Ensembl,ERR186009,ERR567612,ERR567614,ERR567616,ERR567620,ERR650557,ERR650558,ERR650559
ENSG00000013016,201,277,402,382,245,400,333,333
ENSG00000013275,792,1415,1405,1648,756,1541,1591,1438
ENSG00000013288,1366,2069,2899,3106,1674,3481,3250,2932
ENSG00000013293,16,48,46,39,66,36,28,26
ENSG00000013297,66,391,405,387,381,388,332,296
ENSG00000013306,922,1340,1512,1810,702,1647,1718,1573
ENSG00000013364,4601,7085,7774,9648,3643,9564,8495,9195
ENSG00000013374,2382,5042,5287,6552,3457,6430,5232,5299
ENSG00000013375,594,1606,2163,2310,1283,1816,1684,1413
ENSG00000013392,192,371,397,604,267,535,340,370
ENSG00000013441,7922,29269,32863,32371,17768,29289,30566,24524
ENSG00000013503,380,741,978,1036,857,1051,897,785
ENSG00000013523,702,1285,1674,1695,1070,1808,1515,1079
ENSG00000013561,703,1118,1349,1404,849,1377,1141,1075
ENSG00000013563,260,455,616,782,324,623,704,568
ENSG00000013573,683,2558,2746,4670,483,3295,2123,3491
ENSG00000013583,78,115,158,142,146,90,96,76
ENSG00000013588,7,27,52,48,62,37,37,20
ENSG00000013619,1,1,4,2,4,3,0,5
ENSG00000013725,6407,10552,12110,14121,10284,13140,12911,14580
ENSG00000013810,1943,3087,4102,4392,2648,4758,3869,4103
ENSG00000014123,1479,4181,4877,6741,2860,5455,3882,4462
ENSG00000014138,322,662,792,926,616,778,579,682
ENSG00000014164,258,363,473,515,380,590,483,510
ENSG00000014216,1210,1559,1716,2455,976,2365,1871,1977
ENSG00000014257,0,0,1,6,2,1,3,4
ENSG00000014641,1584,3026,3493,4178,2030,3256,2749,2661
ENSG00000014824,1555,3325,4224,4644,2508,3468,3415,3086
ENSG00000014914,3,33,30,31,16,24,30,22
ENSG00000014919,786,1381,1867,1776,1014,1876,1640,1349
ENSG00000015133,5798,10953,12079,15738,11179,17280,13839,14137
ENSG00000015153,1229,2995,3407,4012,3296,2963,2250,2086
ENSG00000015171,2073,4568,5270,6247,2788,6109,5042,4355
ENSG00000015285,843,850,995,1152,897,1534,1166,1290
ENSG00000015413,0,0,0,0,0,0,0,0
ENSG00000015475,372,428,525,628,399,517,493,476
ENSG00000015479,1399,4600,5492,5642,5959,4405,4116,3756
ENSG00000015520,2,7,12,4,5,6,9,5
ENSG00000015532,724,892,1120,1368,629,1415,1346,1258
ENSG00000015568,132,762,748,920,790,634,650,640
ENSG00000015592,2,0,0,3,1,3,2,1
ENSG00000015676,2670,5152,5809,6299,4173,5762,5047,4573
ENSG00000016082,0,1,0,0,0,0,0,0
ENSG00000016391,18,36,51,63,50,105,45,48
ENSG00000016402,0,0,0,0,0,0,0,0
ENSG00000016490,0,0,0,0,0,0,0,0
ENSG00000016602,0,2,0,0,2,0,3,0
ENSG00000016864,628,1028,1188,1315,633,1404,1264,1083
ENSG00000017260,1154,3289,4101,4446,3303,4149,3032,3054
ENSG00000017427,3,10,10,15,21,14,9,5
ENSG00000017483,186,285,323,390,145,342,350,365
ENSG00000017797,1656,2196,2910,2714,1340,2983,2670,2496
ENSG00000018189,558,1246,1575,1772,1258,1755,1234,1256
ENSG00000018236,0,0,1,3,3,3,4,1
ENSG00000018280,68,85,85,131,106,105,59,71
ENSG00000018408,14,42,232,77,51,57,45,19
ENSG00000018510,1567,3768,4636,5070,2900,4508,3393,3077
ENSG00000018607,0,0,0,0,0,0,0,0
ENSG00000018610,510,688,1116,1167,735,1135,911,878
ENSG00000018625,8,18,18,19,8,14,11,15
ENSG00000018699,951,1669,2223,2129,1469,2017,1753,1612
ENSG00000018869,102,233,250,195,125,216,224,156
ENSG00000019102,39,44,22,25,16,46,57,22
